pair_id,persona_id,comparison_id,normal_judgment,swapped_judgment,is_consistent,consistency_type
100_47,100,47,similar,y_higher_than_x,False,inconsistent
100_48,100,48,y_higher_than_x,x_higher_than_y,True,properly_flipped
100_49,100,49,similar,x_higher_than_y,False,inconsistent
100_5,100,5,similar,x_higher_than_y,False,inconsistent
100_6,100,6,similar,x_higher_than_y,False,inconsistent
100_7,100,7,similar,x_higher_than_y,False,inconsistent
100_8,100,8,y_higher_than_x,similar,False,inconsistent
100_9,100,9,similar,similar,True,both_similar
101_0,101,0,similar,x_higher_than_y,False,inconsistent
101_1,101,1,x_higher_than_y,similar,False,inconsistent
101_10,101,10,similar,x_higher_than_y,False,inconsistent
101_11,101,11,x_higher_than_y,similar,False,inconsistent
101_12,101,12,similar,y_higher_than_x,False,inconsistent
101_13,101,13,x_higher_than_y,similar,False,inconsistent
101_14,101,14,similar,y_higher_than_x,False,inconsistent
101_15,101,15,x_higher_than_y,similar,False,inconsistent
101_16,101,16,y_higher_than_x,x_higher_than_y,True,properly_flipped
101_17,101,17,similar,similar,True,both_similar
101_18,101,18,x_higher_than_y,y_higher_than_x,True,properly_flipped
101_19,101,19,x_higher_than_y,y_higher_than_x,True,properly_flipped
101_2,101,2,x_higher_than_y,similar,False,inconsistent
101_20,101,20,x_higher_than_y,x_higher_than_y,False,inconsistent
101_21,101,21,x_higher_than_y,similar,False,inconsistent
101_22,101,22,x_higher_than_y,x_higher_than_y,False,inconsistent
101_23,101,23,x_higher_than_y,similar,False,inconsistent
101_24,101,24,similar,similar,True,both_similar
101_25,101,25,x_higher_than_y,x_higher_than_y,False,inconsistent
101_26,101,26,similar,x_higher_than_y,False,inconsistent
101_27,101,27,x_higher_than_y,y_higher_than_x,True,properly_flipped
101_28,101,28,similar,similar,True,both_similar
101_29,101,29,y_higher_than_x,x_higher_than_y,True,properly_flipped
101_3,101,3,similar,y_higher_than_x,False,inconsistent
101_30,101,30,x_higher_than_y,similar,False,inconsistent
101_31,101,31,y_higher_than_x,y_higher_than_x,False,inconsistent
101_32,101,32,y_higher_than_x,similar,False,inconsistent
101_33,101,33,similar,x_higher_than_y,False,inconsistent
101_34,101,34,y_higher_than_x,similar,False,inconsistent
101_35,101,35,similar,similar,True,both_similar
101_36,101,36,similar,similar,True,both_similar
101_37,101,37,similar,y_higher_than_x,False,inconsistent
101_38,101,38,similar,y_higher_than_x,False,inconsistent
101_39,101,39,y_higher_than_x,similar,False,inconsistent
101_4,101,4,y_higher_than_x,x_higher_than_y,True,properly_flipped
101_40,101,40,y_higher_than_x,similar,False,inconsistent
101_41,101,41,similar,similar,True,both_similar
101_42,101,42,x_higher_than_y,x_higher_than_y,False,inconsistent
101_43,101,43,x_higher_than_y,y_higher_than_x,True,properly_flipped
101_44,101,44,x_higher_than_y,similar,False,inconsistent
101_45,101,45,similar,x_higher_than_y,False,inconsistent
101_46,101,46,y_higher_than_x,y_higher_than_x,False,inconsistent
101_47,101,47,x_higher_than_y,similar,False,inconsistent
101_48,101,48,y_higher_than_x,x_higher_than_y,True,properly_flipped
101_49,101,49,x_higher_than_y,x_higher_than_y,False,inconsistent
101_5,101,5,y_higher_than_x,x_higher_than_y,True,properly_flipped
101_6,101,6,y_higher_than_x,y_higher_than_x,False,inconsistent
101_7,101,7,y_higher_than_x,x_higher_than_y,True,properly_flipped
101_8,101,8,similar,similar,True,both_similar
101_9,101,9,x_higher_than_y,y_higher_than_x,True,properly_flipped
102_0,102,0,x_higher_than_y,y_higher_than_x,True,properly_flipped
102_1,102,1,y_higher_than_x,x_higher_than_y,True,properly_flipped
102_10,102,10,similar,x_higher_than_y,False,inconsistent
102_11,102,11,similar,similar,True,both_similar
102_12,102,12,y_higher_than_x,y_higher_than_x,False,inconsistent
102_13,102,13,x_higher_than_y,similar,False,inconsistent
102_14,102,14,similar,x_higher_than_y,False,inconsistent
102_15,102,15,y_higher_than_x,y_higher_than_x,False,inconsistent
102_16,102,16,similar,similar,True,both_similar
102_17,102,17,y_higher_than_x,x_higher_than_y,True,properly_flipped
102_18,102,18,x_higher_than_y,similar,False,inconsistent
102_19,102,19,similar,x_higher_than_y,False,inconsistent
102_2,102,2,y_higher_than_x,x_higher_than_y,True,properly_flipped
102_20,102,20,similar,x_higher_than_y,False,inconsistent
102_21,102,21,x_higher_than_y,y_higher_than_x,True,properly_flipped
102_22,102,22,x_higher_than_y,similar,False,inconsistent
102_23,102,23,similar,similar,True,both_similar
102_24,102,24,x_higher_than_y,x_higher_than_y,False,inconsistent
102_25,102,25,y_higher_than_x,y_higher_than_x,False,inconsistent
102_26,102,26,x_higher_than_y,y_higher_than_x,True,properly_flipped
102_27,102,27,similar,x_higher_than_y,False,inconsistent
102_28,102,28,y_higher_than_x,y_higher_than_x,False,inconsistent
102_29,102,29,similar,x_higher_than_y,False,inconsistent
102_3,102,3,similar,similar,True,both_similar
102_30,102,30,y_higher_than_x,x_higher_than_y,True,properly_flipped
102_31,102,31,similar,y_higher_than_x,False,inconsistent
102_32,102,32,y_higher_than_x,x_higher_than_y,True,properly_flipped
102_33,102,33,x_higher_than_y,y_higher_than_x,True,properly_flipped
102_34,102,34,similar,similar,True,both_similar
102_35,102,35,x_higher_than_y,similar,False,inconsistent
102_36,102,36,x_higher_than_y,similar,False,inconsistent
102_37,102,37,similar,similar,True,both_similar
102_38,102,38,similar,x_higher_than_y,False,inconsistent
102_39,102,39,similar,y_higher_than_x,False,inconsistent
102_4,102,4,x_higher_than_y,similar,False,inconsistent
102_40,102,40,similar,similar,True,both_similar
102_41,102,41,y_higher_than_x,similar,False,inconsistent
102_42,102,42,similar,y_higher_than_x,False,inconsistent
102_43,102,43,similar,x_higher_than_y,False,inconsistent
102_44,102,44,y_higher_than_x,similar,False,inconsistent
102_45,102,45,similar,x_higher_than_y,False,inconsistent
102_46,102,46,y_higher_than_x,x_higher_than_y,True,properly_flipped
102_47,102,47,y_higher_than_x,y_higher_than_x,False,inconsistent
102_48,102,48,similar,similar,True,both_similar
102_49,102,49,y_higher_than_x,x_higher_than_y,True,properly_flipped
102_5,102,5,similar,y_higher_than_x,False,inconsistent
102_6,102,6,y_higher_than_x,x_higher_than_y,True,properly_flipped
102_7,102,7,similar,similar,True,both_similar
102_8,102,8,y_higher_than_x,x_higher_than_y,True,properly_flipped
102_9,102,9,x_higher_than_y,similar,False,inconsistent
103_0,103,0,x_higher_than_y,x_higher_than_y,False,inconsistent
103_1,103,1,y_higher_than_x,x_higher_than_y,True,properly_flipped
103_10,103,10,similar,x_higher_than_y,False,inconsistent
103_11,103,11,y_higher_than_x,similar,False,inconsistent
103_12,103,12,y_higher_than_x,x_higher_than_y,True,properly_flipped
103_13,103,13,similar,x_higher_than_y,False,inconsistent
103_14,103,14,x_higher_than_y,similar,False,inconsistent
103_15,103,15,similar,y_higher_than_x,False,inconsistent
103_16,103,16,similar,x_higher_than_y,False,inconsistent
103_17,103,17,similar,x_higher_than_y,False,inconsistent
103_18,103,18,similar,x_higher_than_y,False,inconsistent
103_19,103,19,x_higher_than_y,x_higher_than_y,False,inconsistent
103_2,103,2,similar,similar,True,both_similar
103_20,103,20,x_higher_than_y,x_higher_than_y,False,inconsistent
103_21,103,21,x_higher_than_y,similar,False,inconsistent
103_22,103,22,similar,similar,True,both_similar
103_23,103,23,x_higher_than_y,y_higher_than_x,True,properly_flipped
103_24,103,24,x_higher_than_y,similar,False,inconsistent
103_25,103,25,y_higher_than_x,x_higher_than_y,True,properly_flipped
103_26,103,26,similar,similar,True,both_similar
103_27,103,27,y_higher_than_x,x_higher_than_y,True,properly_flipped
103_28,103,28,x_higher_than_y,similar,False,inconsistent
103_29,103,29,x_higher_than_y,similar,False,inconsistent
103_3,103,3,x_higher_than_y,similar,False,inconsistent
103_30,103,30,y_higher_than_x,x_higher_than_y,True,properly_flipped
103_31,103,31,x_higher_than_y,similar,False,inconsistent
103_32,103,32,similar,x_higher_than_y,False,inconsistent
103_33,103,33,y_higher_than_x,similar,False,inconsistent
103_34,103,34,x_higher_than_y,y_higher_than_x,True,properly_flipped
103_35,103,35,similar,x_higher_than_y,False,inconsistent
103_36,103,36,similar,similar,True,both_similar
103_37,103,37,similar,y_higher_than_x,False,inconsistent
103_38,103,38,similar,similar,True,both_similar
103_39,103,39,y_higher_than_x,x_higher_than_y,True,properly_flipped
103_4,103,4,similar,x_higher_than_y,False,inconsistent
103_40,103,40,y_higher_than_x,x_higher_than_y,True,properly_flipped
103_41,103,41,x_higher_than_y,y_higher_than_x,True,properly_flipped
103_42,103,42,y_higher_than_x,similar,False,inconsistent
103_43,103,43,y_higher_than_x,similar,False,inconsistent
103_44,103,44,similar,similar,True,both_similar
103_45,103,45,y_higher_than_x,similar,False,inconsistent
103_46,103,46,x_higher_than_y,y_higher_than_x,True,properly_flipped
103_47,103,47,x_higher_than_y,similar,False,inconsistent
103_48,103,48,y_higher_than_x,similar,False,inconsistent
103_49,103,49,x_higher_than_y,y_higher_than_x,True,properly_flipped
103_5,103,5,x_higher_than_y,y_higher_than_x,True,properly_flipped
103_6,103,6,x_higher_than_y,similar,False,inconsistent
103_7,103,7,x_higher_than_y,x_higher_than_y,False,inconsistent
103_8,103,8,x_higher_than_y,similar,False,inconsistent
103_9,103,9,similar,similar,True,both_similar
104_0,104,0,similar,similar,True,both_similar
104_1,104,1,similar,similar,True,both_similar
104_10,104,10,similar,similar,True,both_similar
104_11,104,11,x_higher_than_y,y_higher_than_x,True,properly_flipped
104_12,104,12,similar,y_higher_than_x,False,inconsistent
104_13,104,13,x_higher_than_y,x_higher_than_y,False,inconsistent
104_14,104,14,similar,similar,True,both_similar
104_15,104,15,x_higher_than_y,x_higher_than_y,False,inconsistent
104_16,104,16,x_higher_than_y,similar,False,inconsistent
104_17,104,17,similar,similar,True,both_similar
104_18,104,18,similar,similar,True,both_similar
104_19,104,19,similar,similar,True,both_similar
104_2,104,2,x_higher_than_y,y_higher_than_x,True,properly_flipped
104_20,104,20,y_higher_than_x,x_higher_than_y,True,properly_flipped
104_21,104,21,similar,x_higher_than_y,False,inconsistent
104_22,104,22,x_higher_than_y,similar,False,inconsistent
104_23,104,23,similar,y_higher_than_x,False,inconsistent
104_24,104,24,similar,similar,True,both_similar
104_25,104,25,x_higher_than_y,similar,False,inconsistent
104_26,104,26,similar,similar,True,both_similar
104_27,104,27,y_higher_than_x,similar,False,inconsistent
104_28,104,28,similar,similar,True,both_similar
104_29,104,29,x_higher_than_y,y_higher_than_x,True,properly_flipped
104_3,104,3,similar,similar,True,both_similar
104_30,104,30,x_higher_than_y,y_higher_than_x,True,properly_flipped
104_31,104,31,similar,x_higher_than_y,False,inconsistent
104_32,104,32,x_higher_than_y,similar,False,inconsistent
104_33,104,33,similar,x_higher_than_y,False,inconsistent
104_34,104,34,y_higher_than_x,similar,False,inconsistent
104_35,104,35,y_higher_than_x,x_higher_than_y,True,properly_flipped
104_36,104,36,similar,x_higher_than_y,False,inconsistent
104_37,104,37,x_higher_than_y,similar,False,inconsistent
104_38,104,38,y_higher_than_x,similar,False,inconsistent
104_39,104,39,x_higher_than_y,similar,False,inconsistent
104_4,104,4,x_higher_than_y,similar,False,inconsistent
104_40,104,40,similar,x_higher_than_y,False,inconsistent
104_41,104,41,x_higher_than_y,similar,False,inconsistent
104_42,104,42,similar,similar,True,both_similar
104_43,104,43,y_higher_than_x,similar,False,inconsistent
104_44,104,44,x_higher_than_y,y_higher_than_x,True,properly_flipped
104_45,104,45,similar,x_higher_than_y,False,inconsistent
104_46,104,46,similar,similar,True,both_similar
104_47,104,47,similar,x_higher_than_y,False,inconsistent
104_48,104,48,y_higher_than_x,x_higher_than_y,True,properly_flipped
104_49,104,49,y_higher_than_x,y_higher_than_x,False,inconsistent
104_5,104,5,x_higher_than_y,similar,False,inconsistent
104_6,104,6,x_higher_than_y,y_higher_than_x,True,properly_flipped
104_7,104,7,y_higher_than_x,x_higher_than_y,True,properly_flipped
104_8,104,8,y_higher_than_x,similar,False,inconsistent
104_9,104,9,x_higher_than_y,similar,False,inconsistent
105_0,105,0,x_higher_than_y,similar,False,inconsistent
105_1,105,1,y_higher_than_x,x_higher_than_y,True,properly_flipped
105_10,105,10,similar,similar,True,both_similar
105_11,105,11,x_higher_than_y,similar,False,inconsistent
105_12,105,12,x_higher_than_y,y_higher_than_x,True,properly_flipped
105_13,105,13,x_higher_than_y,similar,False,inconsistent
105_14,105,14,similar,similar,True,both_similar
105_15,105,15,y_higher_than_x,y_higher_than_x,False,inconsistent
105_16,105,16,y_higher_than_x,x_higher_than_y,True,properly_flipped
105_17,105,17,x_higher_than_y,x_higher_than_y,False,inconsistent
105_18,105,18,y_higher_than_x,x_higher_than_y,True,properly_flipped
105_19,105,19,similar,x_higher_than_y,False,inconsistent
105_2,105,2,y_higher_than_x,y_higher_than_x,False,inconsistent
105_20,105,20,y_higher_than_x,similar,False,inconsistent
105_21,105,21,similar,similar,True,both_similar
105_22,105,22,similar,similar,True,both_similar
105_23,105,23,x_higher_than_y,y_higher_than_x,True,properly_flipped
105_24,105,24,similar,x_higher_than_y,False,inconsistent
105_25,105,25,x_higher_than_y,x_higher_than_y,False,inconsistent
105_26,105,26,x_higher_than_y,similar,False,inconsistent
105_27,105,27,x_higher_than_y,y_higher_than_x,True,properly_flipped
105_28,105,28,similar,similar,True,both_similar
105_29,105,29,x_higher_than_y,similar,False,inconsistent
105_3,105,3,x_higher_than_y,y_higher_than_x,True,properly_flipped
105_30,105,30,x_higher_than_y,y_higher_than_x,True,properly_flipped
105_31,105,31,x_higher_than_y,y_higher_than_x,True,properly_flipped
105_32,105,32,similar,similar,True,both_similar
105_33,105,33,y_higher_than_x,x_higher_than_y,True,properly_flipped
105_34,105,34,x_higher_than_y,x_higher_than_y,False,inconsistent
105_35,105,35,y_higher_than_x,x_higher_than_y,True,properly_flipped
105_36,105,36,x_higher_than_y,similar,False,inconsistent
105_37,105,37,similar,x_higher_than_y,False,inconsistent
105_38,105,38,similar,similar,True,both_similar
105_39,105,39,similar,x_higher_than_y,False,inconsistent
105_4,105,4,x_higher_than_y,similar,False,inconsistent
105_40,105,40,x_higher_than_y,similar,False,inconsistent
105_41,105,41,x_higher_than_y,y_higher_than_x,True,properly_flipped
105_42,105,42,y_higher_than_x,similar,False,inconsistent
105_43,105,43,y_higher_than_x,x_higher_than_y,True,properly_flipped
105_44,105,44,similar,x_higher_than_y,False,inconsistent
105_45,105,45,y_higher_than_x,x_higher_than_y,True,properly_flipped
105_46,105,46,similar,similar,True,both_similar
105_47,105,47,similar,y_higher_than_x,False,inconsistent
105_48,105,48,y_higher_than_x,x_higher_than_y,True,properly_flipped
105_49,105,49,x_higher_than_y,similar,False,inconsistent
105_5,105,5,y_higher_than_x,x_higher_than_y,True,properly_flipped
105_6,105,6,x_higher_than_y,similar,False,inconsistent
105_7,105,7,x_higher_than_y,similar,False,inconsistent
105_8,105,8,y_higher_than_x,x_higher_than_y,True,properly_flipped
105_9,105,9,similar,similar,True,both_similar
106_0,106,0,similar,similar,True,both_similar
106_1,106,1,similar,x_higher_than_y,False,inconsistent
106_10,106,10,y_higher_than_x,x_higher_than_y,True,properly_flipped
106_11,106,11,x_higher_than_y,similar,False,inconsistent
106_12,106,12,y_higher_than_x,x_higher_than_y,True,properly_flipped
106_13,106,13,x_higher_than_y,x_higher_than_y,False,inconsistent
106_14,106,14,similar,y_higher_than_x,False,inconsistent
106_15,106,15,similar,x_higher_than_y,False,inconsistent
106_16,106,16,x_higher_than_y,y_higher_than_x,True,properly_flipped
106_17,106,17,similar,y_higher_than_x,False,inconsistent
106_18,106,18,x_higher_than_y,y_higher_than_x,True,properly_flipped
106_19,106,19,y_higher_than_x,x_higher_than_y,True,properly_flipped
106_2,106,2,similar,x_higher_than_y,False,inconsistent
106_20,106,20,similar,similar,True,both_similar
106_21,106,21,x_higher_than_y,y_higher_than_x,True,properly_flipped
106_22,106,22,y_higher_than_x,y_higher_than_x,False,inconsistent
106_23,106,23,y_higher_than_x,y_higher_than_x,False,inconsistent
106_24,106,24,x_higher_than_y,y_higher_than_x,True,properly_flipped
106_25,106,25,x_higher_than_y,similar,False,inconsistent
106_26,106,26,x_higher_than_y,similar,False,inconsistent
106_27,106,27,y_higher_than_x,x_higher_than_y,True,properly_flipped
106_28,106,28,y_higher_than_x,similar,False,inconsistent
106_29,106,29,y_higher_than_x,x_higher_than_y,True,properly_flipped
106_3,106,3,y_higher_than_x,x_higher_than_y,True,properly_flipped
106_30,106,30,y_higher_than_x,x_higher_than_y,True,properly_flipped
106_31,106,31,x_higher_than_y,similar,False,inconsistent
106_32,106,32,x_higher_than_y,y_higher_than_x,True,properly_flipped
106_33,106,33,y_higher_than_x,x_higher_than_y,True,properly_flipped
106_34,106,34,y_higher_than_x,similar,False,inconsistent
106_35,106,35,similar,similar,True,both_similar
106_36,106,36,x_higher_than_y,x_higher_than_y,False,inconsistent
106_37,106,37,y_higher_than_x,x_higher_than_y,True,properly_flipped
106_38,106,38,x_higher_than_y,similar,False,inconsistent
106_39,106,39,y_higher_than_x,similar,False,inconsistent
106_4,106,4,x_higher_than_y,similar,False,inconsistent
106_40,106,40,x_higher_than_y,y_higher_than_x,True,properly_flipped
106_41,106,41,x_higher_than_y,y_higher_than_x,True,properly_flipped
106_42,106,42,y_higher_than_x,x_higher_than_y,True,properly_flipped
106_43,106,43,y_higher_than_x,x_higher_than_y,True,properly_flipped
106_44,106,44,x_higher_than_y,similar,False,inconsistent
106_45,106,45,y_higher_than_x,x_higher_than_y,True,properly_flipped
106_46,106,46,similar,similar,True,both_similar
106_47,106,47,similar,y_higher_than_x,False,inconsistent
106_48,106,48,similar,similar,True,both_similar
106_49,106,49,similar,similar,True,both_similar
106_5,106,5,similar,x_higher_than_y,False,inconsistent
106_6,106,6,y_higher_than_x,y_higher_than_x,False,inconsistent
106_7,106,7,x_higher_than_y,similar,False,inconsistent
106_8,106,8,y_higher_than_x,x_higher_than_y,True,properly_flipped
106_9,106,9,x_higher_than_y,x_higher_than_y,False,inconsistent
107_0,107,0,x_higher_than_y,similar,False,inconsistent
107_1,107,1,y_higher_than_x,similar,False,inconsistent
107_10,107,10,similar,x_higher_than_y,False,inconsistent
107_11,107,11,similar,x_higher_than_y,False,inconsistent
107_12,107,12,y_higher_than_x,similar,False,inconsistent
107_13,107,13,y_higher_than_x,similar,False,inconsistent
107_14,107,14,similar,y_higher_than_x,False,inconsistent
107_15,107,15,y_higher_than_x,x_higher_than_y,True,properly_flipped
107_16,107,16,similar,y_higher_than_x,False,inconsistent
107_17,107,17,x_higher_than_y,y_higher_than_x,True,properly_flipped
107_18,107,18,x_higher_than_y,x_higher_than_y,False,inconsistent
107_19,107,19,x_higher_than_y,similar,False,inconsistent
107_2,107,2,x_higher_than_y,x_higher_than_y,False,inconsistent
107_20,107,20,similar,similar,True,both_similar
107_21,107,21,similar,similar,True,both_similar
107_22,107,22,x_higher_than_y,y_higher_than_x,True,properly_flipped
107_23,107,23,similar,similar,True,both_similar
107_24,107,24,x_higher_than_y,x_higher_than_y,False,inconsistent
107_25,107,25,x_higher_than_y,similar,False,inconsistent
107_26,107,26,y_higher_than_x,x_higher_than_y,True,properly_flipped
107_27,107,27,y_higher_than_x,y_higher_than_x,False,inconsistent
107_28,107,28,y_higher_than_x,similar,False,inconsistent
107_29,107,29,similar,similar,True,both_similar
107_3,107,3,similar,y_higher_than_x,False,inconsistent
107_30,107,30,y_higher_than_x,x_higher_than_y,True,properly_flipped
107_31,107,31,similar,y_higher_than_x,False,inconsistent
107_32,107,32,similar,x_higher_than_y,False,inconsistent
107_33,107,33,similar,similar,True,both_similar
107_34,107,34,y_higher_than_x,x_higher_than_y,True,properly_flipped
107_35,107,35,y_higher_than_x,x_higher_than_y,True,properly_flipped
107_36,107,36,similar,x_higher_than_y,False,inconsistent
107_37,107,37,x_higher_than_y,y_higher_than_x,True,properly_flipped
107_38,107,38,similar,y_higher_than_x,False,inconsistent
107_39,107,39,y_higher_than_x,x_higher_than_y,True,properly_flipped
107_4,107,4,x_higher_than_y,x_higher_than_y,False,inconsistent
107_40,107,40,similar,x_higher_than_y,False,inconsistent
107_41,107,41,similar,x_higher_than_y,False,inconsistent
107_42,107,42,x_higher_than_y,similar,False,inconsistent
107_43,107,43,y_higher_than_x,x_higher_than_y,True,properly_flipped
107_44,107,44,x_higher_than_y,y_higher_than_x,True,properly_flipped
107_45,107,45,x_higher_than_y,y_higher_than_x,True,properly_flipped
107_46,107,46,x_higher_than_y,y_higher_than_x,True,properly_flipped
107_47,107,47,similar,x_higher_than_y,False,inconsistent
107_48,107,48,x_higher_than_y,y_higher_than_x,True,properly_flipped
107_49,107,49,x_higher_than_y,y_higher_than_x,True,properly_flipped
107_5,107,5,y_higher_than_x,y_higher_than_x,False,inconsistent
107_6,107,6,similar,x_higher_than_y,False,inconsistent
107_7,107,7,similar,similar,True,both_similar
107_8,107,8,y_higher_than_x,x_higher_than_y,True,properly_flipped
107_9,107,9,similar,y_higher_than_x,False,inconsistent
108_0,108,0,similar,y_higher_than_x,False,inconsistent
108_1,108,1,x_higher_than_y,x_higher_than_y,False,inconsistent
108_10,108,10,x_higher_than_y,y_higher_than_x,True,properly_flipped
108_11,108,11,x_higher_than_y,y_higher_than_x,True,properly_flipped
108_12,108,12,x_higher_than_y,y_higher_than_x,True,properly_flipped
108_13,108,13,similar,similar,True,both_similar
108_14,108,14,x_higher_than_y,similar,False,inconsistent
108_15,108,15,similar,x_higher_than_y,False,inconsistent
108_16,108,16,y_higher_than_x,x_higher_than_y,True,properly_flipped
108_17,108,17,similar,similar,True,both_similar
108_18,108,18,y_higher_than_x,x_higher_than_y,True,properly_flipped
108_19,108,19,x_higher_than_y,y_higher_than_x,True,properly_flipped
108_2,108,2,y_higher_than_x,x_higher_than_y,True,properly_flipped
108_20,108,20,x_higher_than_y,y_higher_than_x,True,properly_flipped
108_21,108,21,x_higher_than_y,x_higher_than_y,False,inconsistent
108_22,108,22,x_higher_than_y,y_higher_than_x,True,properly_flipped
108_23,108,23,x_higher_than_y,y_higher_than_x,True,properly_flipped
